"filename", "language", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Airlines.js", "JavaScript", 110, 0, 0, 1, 18, 129
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Airplane.html", "HTML", 0, 0, 271, 0, 44, 315
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Countries.js", "JavaScript", 83, 0, 0, 4, 12, 99
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Customers.js", "JavaScript", 115, 0, 0, 3, 16, 134
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Flights.js", "JavaScript", 110, 0, 0, 3, 16, 129
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Tickets.js", "JavaScript", 130, 0, 0, 3, 18, 151
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\app.js", "JavaScript", 89, 0, 0, 0, 12, 101
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\connection.js", "JavaScript", 13, 0, 0, 0, 1, 14
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\index.html", "HTML", 0, 0, 51, 0, 6, 57
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package-lock.json", "JSON", 0, 1626, 0, 0, 1, 1627
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package.json", "JSON", 0, 21, 0, 0, 1, 22
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\project.html", "HTML", 0, 0, 52, 0, 6, 58
"Total", "-", 650, 1647, 374, 14, 151, 2836